scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2017_distrinet,cnn,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2024,3200,1910,1910,3200,0.596875,0.596875,0.0,1.0,1910,1910,0.596875,0.596875,187.08625,21828.211051379087,21828.192000442366,0.23534796045018933,8.6425,0,0.39983072876930237,0.0,8387836.0,9.184185900026932,2.8700580937584164
victim,cicids2017_distrinet,cnn,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2026,3200,1910,1910,3200,0.596875,0.596875,0.0,1.0,1910,1910,0.596875,0.596875,187.08625,21646.97027447849,21646.95062721183,0.23943414888755576,8.6496875,0,0.4010332226753235,0.0,8400278.0,9.077897200128064,2.83684287504002
victim,cicids2017_distrinet,ft_transformer,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,42,3200,19,19,3200,0.0059375,0.0059375,0.0,1.0,19,19,0.0059375,0.0059375,187.165,41181.599160229234,41181.593202817756,0.44431392901549777,8.5015625,0,0.05000000074505806,0.0,2702697.0,42.62068539997563,13.318964187492384
victim,cicids2017_distrinet,ft_transformer,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2024,3200,19,19,3200,0.0059375,0.0059375,0.0,1.0,19,19,0.0059375,0.0059375,187.165,41331.0408091361,41331.03632994186,0.4450593824956578,8.50375,0,0.05000000447034836,0.0,3110872.0,43.08402709965594,13.463758468642482
victim,cicids2017_distrinet,ft_transformer,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2026,3200,19,19,3200,0.0059375,0.0059375,0.0,1.0,19,19,0.0059375,0.0059375,187.165,41217.61994818977,41217.61520222447,0.4447981932865342,8.503125,0,0.05000000447034836,0.0,2809509.0,43.01390719995834,13.441845999986981
victim,cicids2018_distrinet,mlp-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,42,3200,792,792,3199,0.2475,0.2475,0.0,0.9996875,792,792,0.2475,0.2475,189.92125,1033.3964697920032,989.191391029547,0.3451968631570119,7.95625,0,0.6000000834465027,0.0,70082916.0,10.905499199870974,3.4079684999596793
victim,cicids2018_distrinet,mlp-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2024,3200,792,792,3199,0.2475,0.2475,0.0,0.9996875,792,792,0.2475,0.2475,189.92125,1041.7426457870451,997.3328161227132,0.3456852517868323,7.909375,0,0.6000000834465027,0.0,70082808.0,10.41279079974629,3.2539971249207156
victim,cicids2018_distrinet,mlp-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2026,3200,793,793,3199,0.2478125,0.2478125,0.0,0.9996875,793,793,0.2478125,0.2478125,189.92125,1040.3137030619162,996.1472045797375,0.34474736131033856,7.96,0,0.6000000834465027,0.0,70081016.0,10.820976599818096,3.381555187443155
victim,cicids2018_distrinet,cnn-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,42,3200,835,835,3197,0.2609375,0.2609375,0.0,0.9990625,835,835,0.2609375,0.2609375,189.8425,5724.8585839528105,5715.2507485068345,0.17810687917063117,8.6378125,0,0.10000000149011612,0.0,11684393.0,9.287657300243154,2.9023929063259857
victim,cicids2018_distrinet,cnn-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2024,3200,835,835,3197,0.2609375,0.2609375,0.0,0.9990625,835,835,0.2609375,0.2609375,189.8425,5698.497149157794,5688.968728620084,0.17733519491386177,8.61125,0,0.10000000149011612,0.0,11684530.0,9.13353079999797,2.8542283749993658
