;dataset;model;attack;success_rates;outliers_all;outliers_successful_attacks
german_credit_oh_MLP_noise;german_credit_oh;MLP;noise;[0.05921052631578947, 0.05263157894736842, 0.05263157894736842, 0.046052631578947366, 0.05263157894736842, 0.06578947368421052, 0.08552631578947369, 0.15789473684210525, 0.16447368421052633, 0.16447368421052633];[(11, 152), (11, 152), (11, 152), (11, 152), (11, 152), (23, 152), (40, 152), (63, 152), (77, 152), (88, 152)];[(1, 9), (1, 8), (1, 8), (1, 7), (1, 8), (4, 10), (2, 13), (9, 24), (15, 25), (15, 25)]
german_credit_oh_MLP_fgsm;german_credit_oh;MLP;fgsm;[0.05921052631578947, 0.07236842105263158, 0.07894736842105263, 0.09868421052631579, 0.9868421052631579, 1.0, 1.0, 1.0, 1.0, 1.0];[(11, 152), (11, 152), (11, 152), (11, 152), (119, 152), (137, 152), (137, 152), (138, 152), (138, 152), (152, 152)];[(1, 9), (1, 11), (1, 12), (1, 15), (117, 150), (137, 152), (137, 152), (138, 152), (138, 152), (152, 152)]
german_credit_oh_MLP_pgd;german_credit_oh;MLP;pgd;[0.05921052631578947, 0.07236842105263158, 0.07894736842105263, 0.09210526315789473, 0.8947368421052632, 0.9671052631578947, 0.9473684210526315, 0.9802631578947368, 0.993421052631579, 1.0];[(11, 152), (11, 152), (11, 152), (11, 152), (33, 152), (40, 152), (39, 152), (39, 152), (49, 152), (115, 152)];[(1, 9), (1, 11), (1, 12), (1, 14), (29, 136), (40, 147), (38, 144), (38, 149), (49, 151), (115, 152)]
german_credit_oh_SoftDecisionTree_noise;german_credit_oh;SoftDecisionTree;noise;[0.033112582781456956, 0.033112582781456956, 0.033112582781456956, 0.033112582781456956, 0.033112582781456956, 0.046357615894039736, 0.10596026490066225, 0.10596026490066225, 0.18543046357615894, 0.15894039735099338];[(11, 151), (11, 151), (11, 151), (11, 151), (11, 151), (23, 151), (44, 151), (58, 151), (78, 151), (80, 151)];[(1, 5), (1, 5), (1, 5), (1, 5), (1, 5), (2, 7), (5, 16), (7, 16), (19, 28), (19, 24)]
german_credit_oh_SoftDecisionTree_fgsm;german_credit_oh;SoftDecisionTree;fgsm;[0.033112582781456956, 0.039735099337748346, 0.06622516556291391, 0.08609271523178808, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];[(11, 151), (11, 151), (11, 151), (11, 151), (133, 151), (140, 151), (140, 151), (140, 151), (140, 151), (151, 151)];[(1, 5), (1, 6), (1, 10), (1, 13), (133, 151), (140, 151), (140, 151), (140, 151), (140, 151), (151, 151)]
german_credit_oh_SoftDecisionTree_pgd;german_credit_oh;SoftDecisionTree;pgd;[0.033112582781456956, 0.039735099337748346, 0.06622516556291391, 0.08609271523178808, 0.9536423841059603, 1.0, 1.0, 1.0, 1.0, 1.0];[(11, 151), (11, 151), (11, 151), (11, 151), (98, 151), (90, 151), (91, 151), (93, 151), (91, 151), (147, 151)];[(1, 5), (1, 6), (1, 10), (1, 13), (95, 144), (90, 151), (91, 151), (93, 151), (91, 151), (147, 151)]
german_credit_oh_TabTransformer_noise;german_credit_oh;TabTransformer;noise;[0.09523809523809523, 0.10884353741496598, 0.10884353741496598, 0.10204081632653061, 0.09523809523809523, 0.11564625850340136, 0.14285714285714285, 0.17006802721088435, 0.22448979591836735, 0.21768707482993196];[(9, 147), (9, 147), (9, 147), (9, 147), (9, 147), (21, 147), (35, 147), (60, 147), (66, 147), (86, 147)];[(1, 14), (1, 16), (1, 16), (1, 15), (1, 14), (1, 17), (8, 21), (9, 25), (10, 33), (20, 32)]
german_credit_oh_TabTransformer_fgsm;german_credit_oh;TabTransformer;fgsm;[0.10884353741496598, 0.11564625850340136, 0.1292517006802721, 0.1360544217687075, 0.9047619047619048, 0.9931972789115646, 1.0, 1.0, 1.0, 1.0];[(9, 147), (9, 147), (9, 147), (9, 147), (37, 147), (47, 147), (47, 147), (46, 147), (46, 147), (134, 147)];[(1, 16), (1, 17), (1, 19), (1, 20), (34, 133), (46, 146), (47, 147), (46, 147), (46, 147), (134, 147)]
german_credit_oh_TabTransformer_pgd;german_credit_oh;TabTransformer;pgd;[0.10884353741496598, 0.11564625850340136, 0.12244897959183673, 0.1292517006802721, 0.8775510204081632, 1.0, 1.0, 1.0, 1.0, 1.0];[(9, 147), (9, 147), (9, 147), (9, 147), (31, 147), (95, 147), (114, 147), (145, 147), (147, 147), (147, 147)];[(1, 16), (1, 17), (1, 18), (1, 19), (27, 129), (95, 147), (114, 147), (145, 147), (147, 147), (147, 147)]
covertype_oh_MLP_noise;covertype_oh;MLP;noise;[0.738430583501006, 0.738430583501006, 0.7565392354124748, 0.7565392354124748, 0.7645875251509054, 0.8148893360160966, 0.7867203219315896, 0.7947686116700201, 0.8088531187122736, 0.8470824949698189];[(343, 497), (346, 497), (355, 497), (352, 497), (352, 497), (496, 497), (497, 497), (496, 497), (497, 497), (497, 497)];[(295, 367), (297, 367), (305, 376), (307, 376), (303, 380), (405, 405), (391, 391), (394, 395), (402, 402), (421, 421)]
covertype_oh_MLP_fgsm;covertype_oh;MLP;fgsm;[0.7565392354124748, 0.7766599597585513, 0.8128772635814889, 0.8289738430583501, 0.9235412474849095, 0.9195171026156942, 0.9215291750503019, 0.9255533199195171, 0.9235412474849095, 0.9255533199195171];[(347, 497), (352, 497), (357, 497), (367, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(302, 376), (307, 386), (314, 404), (324, 412), (459, 459), (457, 457), (458, 458), (460, 460), (459, 459), (460, 460)]
covertype_oh_MLP_pgd;covertype_oh;MLP;pgd;[0.7605633802816901, 0.7867203219315896, 0.8189134808853119, 0.8329979879275654, 0.9496981891348089, 0.9678068410462777, 0.9899396378269618, 0.9859154929577465, 0.993963782696177, 1.0];[(349, 497), (354, 497), (376, 497), (391, 497), (487, 497), (491, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(306, 378), (315, 391), (338, 407), (352, 414), (468, 472), (478, 481), (492, 492), (490, 490), (494, 494), (497, 497)]
covertype_oh_SoftDecisionTree_noise;covertype_oh;SoftDecisionTree;noise;[0.710261569416499, 0.710261569416499, 0.7142857142857143, 0.7223340040241448, 0.7263581488933601, 0.744466800804829, 0.7746478873239436, 0.7806841046277666, 0.7907444668008048, 0.8209255533199196];[(374, 497), (372, 497), (373, 497), (369, 497), (374, 497), (492, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(296, 353), (294, 353), (299, 355), (293, 359), (294, 361), (367, 370), (385, 385), (388, 388), (393, 393), (408, 408)]
covertype_oh_SoftDecisionTree_fgsm;covertype_oh;SoftDecisionTree;fgsm;[0.7243460764587525, 0.7525150905432596, 0.7766599597585513, 0.8088531187122736, 0.9899396378269618, 0.9959758551307847, 0.9959758551307847, 0.9919517102615694, 0.9899396378269618, 0.9919517102615694];[(383, 497), (386, 497), (387, 497), (387, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(300, 360), (311, 374), (312, 386), (317, 402), (492, 492), (495, 495), (495, 495), (493, 493), (492, 492), (493, 493)]
covertype_oh_SoftDecisionTree_pgd;covertype_oh;SoftDecisionTree;pgd;[0.7283702213279678, 0.7625754527162978, 0.7947686116700201, 0.8229376257545271, 0.9979879275653923, 1.0, 1.0, 1.0, 1.0, 1.0];[(379, 497), (388, 497), (395, 497), (392, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(299, 362), (314, 379), (322, 395), (327, 409), (496, 496), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497)]
covertype_oh_TabTransformer_noise;covertype_oh;TabTransformer;noise;[0.7122736418511066, 0.7142857142857143, 0.7122736418511066, 0.7243460764587525, 0.7283702213279678, 0.7665995975855131, 0.7505030181086519, 0.7706237424547284, 0.7907444668008048, 0.7867203219315896];[(344, 497), (340, 497), (341, 497), (351, 497), (348, 497), (494, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(284, 354), (280, 355), (284, 354), (288, 360), (287, 362), (379, 381), (373, 373), (383, 383), (393, 393), (391, 391)]
covertype_oh_TabTransformer_fgsm;covertype_oh;TabTransformer;fgsm;[0.7283702213279678, 0.7404426559356136, 0.7484909456740443, 0.772635814889336, 0.9175050301810865, 0.9275653923541247, 0.93158953722334, 0.9295774647887324, 0.9336016096579477, 0.9295774647887324];[(346, 497), (348, 497), (349, 497), (357, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497), (497, 497)];[(285, 362), (291, 368), (290, 372), (298, 384), (456, 456), (461, 461), (463, 463), (462, 462), (464, 464), (462, 462)]
covertype_oh_TabTransformer_pgd;covertype_oh;TabTransformer;pgd;[0.7505030181086519, 0.7686116700201208, 0.7867203219315896, 0.8008048289738431, 0.9054325955734407, 0.9215291750503019, 0.9496981891348089, 0.9557344064386318, 0.9919517102615694, 0.9899396378269618];[(341, 497), (334, 497), (325, 497), (318, 497), (431, 497), (448, 497), (470, 497), (479, 497), (492, 497), (495, 497)];[(288, 373), (286, 382), (282, 391), (282, 398), (416, 450), (427, 458), (454, 472), (465, 475), (489, 493), (490, 492)]
