,params._lambda,params.optimizer,params.lr,params.max_iter,params.sample_num,params.kappa,metrics.success_rate,metrics.mean_l2_distance,metrics.mean_linf_distance,metrics.perturbed_features_latent,metrics.perturbed_features_input,metrics.mean_confidence_successful,metrics.mean_confidence_unsuccessful,metrics.min_confidence_unsuccessful,metrics.max_confidence_unsuccessful,metrics.mean_md_distance,metrics.outlier_rate,metrics.outliers,attack,dataset,model,params.epsilon,params.alpha,params.num_steps,params.p_norm
30,0.9,adam,0.1,300.0,500,0.0,0.49,0.5711687803268433,0.2772342562675476,14.36734693877551,4.628571428571429,0.5638322387574887,0.193520818270889,0.0,0.4997207522392273,3.9431684274357393,0.15510204081632653,38/245,baseline,adult,MLP,,,,
31,0.9,adam,0.15,300.0,500,0.0,0.558,0.6474809646606445,0.3130897283554077,14.562724014336917,4.759856630824372,0.5678568457163149,0.1936825562386491,0.0,0.4976085424423218,4.057542624503314,0.1863799283154122,52/279,baseline,adult,MLP,,,,
32,0.9,adam,0.2,300.0,500,0.0,0.6,0.6955627202987671,0.33398815989494324,14.663333333333334,4.8566666666666665,0.5819269686502715,0.22387627214193345,0.0,0.4975726008415222,4.085520329824305,0.19666666666666666,59/300,baseline,adult,MLP,,,,
33,0.9,adam,0.25,300.0,500,0.0,0.648,0.7867537140846252,0.3753098249435425,14.75925925925926,4.907407407407407,0.5873310276031218,0.23132381994615903,0.0,0.4997097849845886,4.292902415639376,0.2345679012345679,76/324,baseline,adult,MLP,,,,
34,0.9,adam,0.3,300.0,500,0.0,0.71,0.9479865431785583,0.4540795087814331,14.873239436619718,4.9915492957746475,0.5989117775059921,0.2256139771691684,0.0,0.4989388585090637,4.505101135630249,0.27887323943661974,99/355,baseline,adult,MLP,,,,
35,1.0,adam,0.01,300.0,500,0.0,0.32,0.4301685392856598,0.20601606369018555,13.49375,4.36875,0.5400802583317272,0.18480324762709,0.0,0.4979935884475708,3.9585609809815416,0.15625,25/160,baseline,adult,MLP,,,,
36,1.0,adam,0.03,300.0,500,0.0,0.354,0.4581681489944458,0.22735914587974548,13.740112994350282,4.440677966101695,0.5477577798952491,0.19464950886304164,0.0,0.49929946660995483,3.9685239806098562,0.1638418079096045,29/177,baseline,adult,MLP,,,,
37,1.0,adam,0.1,300.0,500,0.0,0.51,0.6220138669013977,0.3022327721118927,14.431372549019608,4.662745098039216,0.5615181827296813,0.1944775829509813,0.0,0.4956406354904175,4.006814030142002,0.16470588235294117,42/255,baseline,adult,MLP,,,,
38,1.0,adam,0.15,300.0,500,0.0,0.58,0.7124676704406738,0.34645015001296997,14.610344827586207,4.86896551724138,0.5765286671061968,0.1987891566185724,0.0,0.49745893478393555,4.096290381802836,0.1793103448275862,52/290,baseline,adult,MLP,,,,
39,1.0,adam,0.2,300.0,500,0.0,0.636,0.8241590857505798,0.3990683853626251,14.742138364779874,4.871069182389937,0.5778047105344305,0.21954917252718748,0.0,0.49795252084732056,4.211427277130294,0.21069182389937108,67/318,baseline,adult,MLP,,,,
40,1.0,adam,0.25,300.0,500,0.0,0.666,0.8929791450500488,0.43508490920066833,14.78978978978979,4.96996996996997,0.5964408466821766,0.23306931956799445,0.0,0.4992603063583374,4.317817506680002,0.23423423423423423,78/333,baseline,adult,MLP,,,,
41,1.0,adam,0.3,300.0,500,0.0,0.712,0.9512702226638794,0.4571835398674011,14.876404494382022,5.042134831460674,0.5960666147699014,0.2349303708308273,0.0,0.4991041421890259,4.435696907173971,0.25,89/356,baseline,adult,MLP,,,,
42,1.0,adam,0.1,300.0,500,0.0,0.494,0.4597463309764862,0.24704104661941528,15.218623481781377,4.659919028340081,0.5697784066984528,0.19366138937916208,0.01360785961151123,0.4972798228263855,3.696437152481892,0.11336032388663968,28/247,baseline,adult,SoftDecisionTree,,,,
43,1.0,adam,0.1,300.0,500,0.0,0.29,0.29992568492889404,0.14769631624221802,13.903448275862068,4.572413793103448,0.5672056996616824,0.21523063888012522,7.367134094238281e-05,0.4993467926979065,3.342442456150004,0.0896551724137931,13/145,baseline,adult,TabTransformer,,,,
44,1.0,adam,0.1,300.0,500,0.0,0.98,0.9132367968559265,0.493863046169281,15.738775510204082,59.13061224489796,0.6488929253869823,0.00812779664993286,4.4465065002441406e-05,0.030714035034179688,3.975195132485826,0.17755102040816326,87/490,baseline,phishing_url,MLP,,,,
45,1.0,adam,0.1,300.0,500,0.0,0.744,0.610964298248291,0.3215144872665405,15.35483870967742,58.854838709677416,0.6093734465539455,0.05582729261368513,0.050656795501708984,0.09232252836227417,3.3475455342744356,0.08064516129032258,30/372,baseline,phishing_url,SoftDecisionTree,,,,
46,1.0,adam,0.1,300.0,500,0.0,0.97,0.8739123344421387,0.47820013761520386,15.538144329896907,59.136082474226804,0.6624209148482871,0.04591160615285238,8.344650268554688e-06,0.31702715158462524,3.8932970248174787,0.16907216494845362,82/485,baseline,phishing_url,TabTransformer,,,,
47,1.0,adam,0.1,300.0,500,0.0,0.908,1.122784972190857,0.693932056427002,7.927312775330397,16.0,0.5938858502079827,0.035403629359991654,9.691715240478516e-05,0.5184604823589325,2.5182086346613928,0.05506607929515418,25/454,baseline,pendigit,MLP,,,,
48,1.0,adam,0.1,300.0,500,0.0,0.538,0.7752576470375061,0.5087172389030457,7.881040892193308,16.0,0.687325897214581,0.0657076206042137,0.03334999084472656,0.2750641703605652,2.3942798736467865,0.04460966542750929,12/269,baseline,pendigit,SoftDecisionTree,,,,
49,1.0,adam,0.1,300.0,500,0.0,0.974,1.0850419998168945,0.6867269277572632,8.0,16.0,0.5565750716725991,0.019179793504568245,0.002392292022705078,0.04860818386077881,2.6084557063840457,0.08624229979466119,42/487,baseline,pendigit,TabTransformer,,,,
50,1.0,adam,0.1,300.0,500,0.0,0.09395973154362416,0.0014686895301565528,0.0010295595275238156,1.1428571428571428,9.642857142857142,0.5397877033267703,0.21770363648732502,0.02662569284439087,0.4962053894996643,2.401072457726207,0.0,0/14,baseline,german_credit,MLP,,,,
