scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,2026,800,1,1,800,0.00125,0.00125,0.0,1.0,3.54,0.15082125337639193,0.14911378578988838,2.997715681733065e-05,0.12875,0,0.9474173784255981,0.0,7536.0,2.1761753000319004,2.7202191250398755
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,42,800,474,474,800,0.5925,0.5925,0.0,1.0,252.91875,3168.2717534815615,3168.2598164330066,0.0648783362076685,20.75,0,1.6666667461395264,67.0,1674416.5,2.2311193000059575,2.788899125007447
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,2024,800,474,474,800,0.5925,0.5925,0.0,1.0,252.91875,3174.0482495137553,3174.0362023025723,0.06469548460110464,20.71875,0,1.6585968136787415,67.0,1649359.0,1.9002084999810904,2.375260624976363
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,2026,800,474,474,800,0.5925,0.5925,0.0,1.0,252.91875,3188.119522862837,3188.1076425199635,0.06468173701945651,20.7225,0,1.6700319051742554,66.5,1703240.0,2.241596099920571,2.8019951249007136
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,42,800,3,3,800,0.00375,0.00375,0.0,1.0,251.375,2238.1403080560835,2237.8304549517943,0.05018758171218715,19.745,0,0.20000000298023224,8.0,0.0,11.91575470007956,14.89469337509945
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2024,800,3,3,800,0.00375,0.00375,0.0,1.0,251.375,2237.422429184017,2237.1125745170116,0.050188327466013434,19.745,0,0.20000000298023224,8.0,0.0,12.163133900146931,15.203917375183664
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2026,800,3,3,800,0.00375,0.00375,0.0,1.0,251.375,2238.5924230612272,2238.2868147822887,0.050189501394492325,19.7325,0,0.20000000298023224,8.0,0.0,11.824124399805441,14.780155499756802
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,42,800,0,0,800,0.0,0.0,0.0,1.0,245.92,7225.66741033024,7225.6642700960565,0.03425715413280318,19.54,0,,,,13.182567700045183,16.47820962505648
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2024,800,0,0,800,0.0,0.0,0.0,1.0,245.92,7214.596730908126,7214.593590748231,0.0342149568139522,19.5625,0,,,,13.51255219988525,16.89069024985656
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2026,800,0,0,800,0.0,0.0,0.0,1.0,245.92,7215.986730885504,7215.983590748231,0.03421599373696807,19.54,0,,,,13.20718300016597,16.50897875020746
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,42,800,0,0,800,0.0,0.0,0.0,1.0,3.8575,0.37298040885135947,0.3713704761285819,4.427410117905019e-05,0.15125,0,,,,2.577700700145215,3.2221258751815185
