scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2024,3200,1467,730,1476,0.4584375,0.228125,23.03125,0.46125,192.805625,2725.1980829275712,2719.2851382120325,0.26330676530896835,12.32,0,0.40175820887088776,0.0,46741440.0,9.413450499996543,2.9417032812489197
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2026,3200,1467,722,1466,0.4584375,0.225625,23.28125,0.458125,192.805625,2714.19773052347,2708.1896423854796,0.2622954018354971,12.339375,0,0.4000000059604645,0.0,46722200.0,9.58059070003219,2.993934593760059
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,42,3200,25,3,765,0.0078125,0.0009375,0.6875,0.2390625,192.8690625,1171.231763958495,1119.802285953337,0.48406454958247125,15.339375,0,0.30000001192092896,0.0,14399175.0,40.53266190015711,12.666456843799097
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2024,3200,25,3,765,0.0078125,0.0009375,0.6875,0.2390625,192.8690625,1171.430582709094,1120.0476851200037,0.48380823551832414,15.3484375,0,0.30000001192092896,0.0,14399175.0,41.17719940026291,12.867874812582158
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2026,3200,25,3,765,0.0078125,0.0009375,0.6875,0.2390625,192.8690625,1176.7056374936606,1125.2837048214333,0.48407403596734205,15.343125,0,0.30000001192092896,0.0,14399175.0,41.28870529984124,12.902720406200388
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,202,202,3200,0.063125,0.063125,0.0,1.0,190.63,2314.2118986242363,2314.1676634281544,0.021719180804647065,14.9253125,0,1.499999463558197,21.0,388078.5,9.746233900077641,3.045698093774263
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,202,202,3200,0.063125,0.063125,0.0,1.0,190.63,2315.9683043506043,2315.9241934467113,0.02169186316695306,14.903125,0,1.489255428314209,22.5,438969.5,10.752695500385016,3.3602173438703176
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,202,202,3200,0.063125,0.063125,0.0,1.0,190.63,2315.65362334549,2315.609427415947,0.0217148306408013,14.9240625,0,1.4908603429794312,23.0,350390.5,10.962765499716625,3.425864218661445
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,418,418,3200,0.130625,0.130625,0.0,1.0,190.55125,2060.026568815325,2059.9779810149093,0.020940732970661746,14.775,0,1.3705164194107056,1.5,674341.0,9.312942600110546,2.9102945625345455
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,418,418,3200,0.130625,0.130625,0.0,1.0,190.55125,2070.977029014315,2070.9293458717525,0.020819518676294713,14.78875,0,1.3625928163528442,2.0,670031.5,9.446731999982148,2.9521037499944214
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,418,418,3200,0.130625,0.130625,0.0,1.0,190.55125,2071.049917037273,2071.0021641948215,0.02090800997040289,14.768125,0,1.3501113653182983,2.0,687030.5,9.183234500000253,2.869760781250079
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,5,5,3200,0.0015625,0.0015625,0.0,1.0,190.63,2283.2509231725526,2283.2063376918527,0.02231519896499853,14.926875,0,0.31670141220092773,2.0,758.0,43.83589409990236,13.698716906219488
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,5,5,3200,0.0015625,0.0015625,0.0,1.0,190.63,2283.122140326013,2283.077998461478,0.022323375530661185,14.9315625,0,0.31364572048187256,2.0,439.0,43.84648020006716,13.702025062520988
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,5,5,3200,0.0015625,0.0015625,0.0,1.0,190.63,2283.356564639097,2283.312269404878,0.022348742291837045,14.9315625,0,0.31670141220092773,2.0,747.0,44.3318800998386,13.853712531199562
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,35,3,2400,0.0109375,0.0009375,0.9999999999999999,0.75,197.4025,306.1767791969613,305.8107390426175,0.02201482172108897,8.8384375,0,0.7500001192092896,0.0,4295924.0,10.110061299987137,3.1593941562459804
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,35,3,2399,0.0109375,0.0009375,0.9999999999999999,0.7496875,197.4025,298.08855395663295,297.7178577488179,0.021979593682697668,8.8375,0,0.7500001192092896,0.0,3195640.0,9.988720900379121,3.1214752813684754
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,35,3,2405,0.0109375,0.0009375,0.9999999999999999,0.7515625,197.4025,306.4922996562276,306.1241881224358,0.02194630185324535,8.7896875,0,0.9046894311904907,0.0,4778408.0,10.602121400414035,3.313162937629386
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,445,0,758,0.1390625,0.0,13.90625,0.236875,197.4025,300.6709324590343,299.09360339079643,0.04155886013555855,13.681875,0,,,,9.656263399869204,3.017582312459126
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,448,0,759,0.14,0.0,14.000000000000002,0.2371875,197.4025,311.427215984682,309.83862005746306,0.04172534676459834,13.694375,0,,,,9.398751700064167,2.9371099062700523
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,445,0,759,0.1390625,0.0,13.90625,0.2371875,197.4025,303.1400249515649,301.54908839079644,0.04159765927306716,13.6871875,0,,,,9.317115200217813,2.9115985000680666
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,197.4025,373.9405472592591,372.07802178225654,0.04381239229472255,14.5234375,0,,,,44.71586019988172,13.973706312463037
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,197.4025,373.67155589117016,371.80863775165034,0.04381329353628323,14.5009375,0,,,,44.35257939971052,13.860181062409538
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,197.4025,369.30641304330044,367.4338162366202,0.043767040915111376,14.496875,0,,,,44.07142290007323,13.772319656272884
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,354,354,3200,0.110625,0.110625,0.0,1.0,190.63,3422.3088025152074,3422.224855048107,0.03827470284652779,15.0390625,0,1.316666841506958,27.0,293878.0,9.561831999802962,2.9880724999384256
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,354,354,3200,0.110625,0.110625,0.0,1.0,190.63,3422.9253374941122,3422.840804702839,0.03834176092711639,15.0353125,0,1.332047164440155,27.0,287775.0,9.753059599781409,3.0478311249316903
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,354,354,3200,0.110625,0.110625,0.0,1.0,190.63,3431.827639726249,3431.7431808187907,0.038285787876521586,15.03,0,1.3402255177497864,27.0,306172.0,9.686895999824628,3.0271549999451963
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,1153,1153,3200,0.3603125,0.3603125,0.0,1.0,190.55125,2858.3498666247174,2858.266575500515,0.034805741478300824,14.8921875,0,1.5747675895690918,51.0,1311101.0,9.63758850004524,3.0117464062641375
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,1160,1160,3200,0.3625,0.3625,0.0,1.0,190.55125,2882.332565128963,2882.249378231125,0.0348058156539084,14.8759375,0,1.5726956129074097,51.0,1280586.5,10.25834109983407,3.2057315936981468
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,1153,1153,3200,0.3603125,0.3603125,0.0,1.0,190.55125,2863.2171133028,2863.134700427987,0.034766902266321086,14.846875,0,1.5814554691314697,51.0,1299722.0,10.205973700154573,3.189366781298304
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,14,14,3200,0.004375,0.004375,0.0,1.0,190.63,3309.054817245945,3308.9734273187555,0.03421044518597042,14.988125,0,0.20512820780277252,16.0,0.0,43.82304219994694,13.694700687483419
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,14,14,3200,0.004375,0.004375,0.0,1.0,190.63,3307.7279217792984,3307.6471138111933,0.03418965573471096,14.9815625,0,0.20512820780277252,16.0,0.0,44.055394399911165,13.76731074997224
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,14,14,3200,0.004375,0.004375,0.0,1.0,190.63,3305.3064813850606,3305.2252036421523,0.03421852090562079,14.985,0,0.20512820780277252,16.0,0.0,43.70779849984683,13.658687031202135
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,42,9,2404,0.013125,0.0028125,1.0312499999999998,0.75125,197.4025,374.9714216422275,374.5067903145093,0.023204576613623015,8.8321875,0,0.9500000476837158,0.0,3359711.0,9.55680390028283,2.9865012188383844
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,42,8,2407,0.013125,0.0025,1.0625,0.7521875,197.4025,367.4273634064373,366.94987034328756,0.023193301610035806,8.8103125,0,0.9170377254486084,0.0,2575582.5,9.750029199989513,3.0468841249967227
